# Age (Gyr), MW Stellar Mass, LMC Stellar Mass, MW col (Bruzal), LMC col (Bruzal)
4.700000000000000178e+00,2.734119453286339569e+10,1.004328459876348257e+09,3.027165705809035101e-01,3.826414644131328480e-01
4.799999999999999822e+00,2.781934855697763443e+10,1.015151631788283348e+09,3.046962404187475992e-01,3.937224921533282185e-01
4.900000000000000355e+00,2.829429074885692596e+10,1.025911229929362059e+09,3.062175673437094181e-01,3.962407803907244674e-01
5.000000000000000000e+00,2.876698731031063080e+10,1.036674623593322396e+09,3.074418599435590482e-01,3.966324465312706660e-01
5.099999999999999645e+00,2.923763678345863724e+10,1.047497641737947106e+09,3.085745829108321736e-01,3.937887269335259566e-01
5.200000000000000178e+00,2.970696935178264618e+10,1.058509598958299756e+09,3.094983080149888988e-01,3.882383605077409650e-01
5.299999999999999822e+00,3.017512564842191696e+10,1.069715712709169030e+09,3.104186387217909293e-01,3.820586939721146713e-01
5.400000000000000355e+00,3.064259973718512726e+10,1.081115982990557194e+09,3.111756881997954083e-01,3.758023260777875740e-01
5.500000000000000000e+00,3.110951481917597580e+10,1.092710409802464008e+09,3.119968286187447259e-01,3.696623855779417323e-01
5.599999999999999645e+00,3.157555214159226227e+10,1.104498993144888401e+09,3.131120818529885552e-01,3.637224313740222703e-01
5.700000000000000178e+00,3.204054953552484512e+10,1.116481733017830372e+09,3.143478712844682277e-01,3.580535878929462790e-01
5.799999999999999822e+00,3.250468954924787140e+10,1.128648644674085379e+09,3.154873916502053954e-01,3.531014516209645127e-01
5.900000000000000355e+00,3.296815666674613953e+10,1.140967394852614403e+09,3.165810506031113691e-01,3.490644128977065108e-01
6.000000000000000000e+00,3.343097089813141251e+10,1.153435510747798920e+09,3.176414911099912364e-01,3.454716436075071506e-01
6.099999999999999645e+00,3.389317228887463760e+10,1.166052992359638214e+09,3.186768916634649118e-01,3.421756745707851266e-01
6.200000000000000178e+00,3.435483256190626907e+10,1.178819839688133240e+09,3.196204855711490822e-01,3.391196125003805850e-01
6.299999999999999822e+00,3.481622168340965271e+10,1.191736052733283997e+09,3.204329203634507239e-01,3.362535680032942009e-01
6.400000000000000355e+00,3.527732050941152191e+10,1.204801631495089054e+09,3.212916289683290794e-01,3.335791962658685161e-01
6.500000000000000000e+00,3.573776428775671387e+10,1.218016575973550320e+09,3.223674610385006689e-01,3.310663788864426915e-01
6.599999999999999645e+00,3.619748304264780426e+10,1.231380886168667793e+09,3.234944870247731252e-01,3.287067660119355472e-01
6.700000000000000178e+00,3.665668599627741241e+10,1.244899069078152418e+09,3.245231593057462116e-01,3.262697122218942702e-01
6.799999999999999822e+00,3.711546025551122284e+10,1.258615820192772388e+09,3.255576378960852724e-01,3.230650570274848921e-01
6.900000000000000355e+00,3.757362525173811340e+10,1.272542591230829239e+09,3.267739175024244602e-01,3.198341341030623841e-01
7.000000000000000000e+00,3.803103471684784698e+10,1.286679382192374706e+09,3.280894966773716948e-01,3.167028655515199409e-01
7.099999999999999645e+00,3.848768865084040833e+10,1.301015980231077194e+09,3.294679637569998265e-01,3.137345426889092681e-01
7.200000000000000178e+00,3.894356241545607758e+10,1.315583023885817289e+09,3.309444192338701352e-01,3.109364619604220170e-01
7.299999999999999822e+00,3.939819854998666382e+10,1.330349874617713928e+09,3.327775167402089451e-01,3.082972968082980381e-01
7.400000000000000355e+00,3.985171127838085938e+10,1.345312423365281343e+09,3.344596901406378109e-01,3.062708279176117321e-01
7.500000000000000000e+00,4.030454595569512939e+10,1.360444319877482176e+09,3.360203335014295134e-01,3.047241052780317871e-01
7.599999999999999645e+00,4.075656077838727570e+10,1.375734778612736940e+09,3.377448047306311762e-01,3.033779989019516066e-01
7.700000000000000178e+00,4.120731977967002106e+10,1.391214438109853506e+09,3.396994365748842726e-01,3.021695222143395143e-01
7.799999999999999822e+00,4.165687204860095978e+10,1.406852659830029488e+09,3.416160126294384147e-01,3.010664107148102731e-01
7.900000000000000355e+00,4.210567636395394135e+10,1.422659656619543791e+09,3.433107008874013433e-01,3.000741081140214095e-01
8.000000000000000000e+00,4.255379250601997375e+10,1.438635428478373528e+09,3.449920267112239758e-01,2.991692019931151969e-01
8.099999999999999645e+00,4.300100142553755951e+10,1.454779975406547546e+09,3.468071242882564964e-01,2.983471478709134872e-01
8.199999999999999289e+00,4.344723158883523560e+10,1.471097562842884064e+09,3.486548377394505516e-01,2.974592968068510146e-01
8.300000000000000711e+00,4.389248299591301727e+10,1.487603234877069473e+09,3.505109814115853206e-01,2.964400325130250313e-01
8.400000000000000355e+00,4.433675564677066803e+10,1.504298304399525166e+09,3.523662341497357242e-01,2.954539683846202913e-01
8.500000000000000000e+00,4.477988773549326324e+10,1.521182771410254955e+09,3.543740160596554056e-01,2.945246306246848134e-01
8.599999999999999645e+00,4.522167471758693695e+10,1.538256635909260750e+09,3.564663758152725737e-01,2.936164907975916671e-01
8.699999999999999289e+00,4.566221925972710419e+10,1.555508648555989265e+09,3.584611045063983981e-01,2.927547047019870563e-01
8.800000000000000711e+00,4.610177361629119110e+10,1.572929262471684456e+09,3.603361197576365749e-01,2.926824282100525254e-01
8.900000000000000355e+00,4.654034921663517761e+10,1.590467193723827839e+09,3.621834576971454944e-01,2.928660321166737801e-01
9.000000000000000000e+00,4.697794606075914001e+10,1.608132655158689022e+09,3.640223915272584598e-01,2.931505983366014534e-01
9.099999999999999645e+00,4.741452577748405457e+10,1.625925646776266575e+09,3.659211489459518463e-01,2.934778422509036755e-01
9.199999999999999289e+00,4.784968428480239868e+10,1.643835955730294943e+09,3.680771984963181476e-01,2.938298982039064811e-01
9.300000000000000711e+00,4.828331975334959412e+10,1.661926553812875986e+09,3.702798614902824692e-01,2.932921749519991073e-01
9.400000000000000355e+00,4.871567099480883026e+10,1.680253454298702955e+09,3.723148595690888851e-01,2.917724594465194721e-01
9.500000000000000000e+00,4.914685996325685883e+10,1.698831619578362703e+09,3.742978645289299355e-01,2.901056251560538146e-01
9.599999999999999645e+00,4.957697773253271484e+10,1.717661049651854515e+09,3.761719386903668028e-01,2.884511668502904302e-01
9.700000000000001066e+00,5.000611674428923798e+10,1.736741744519176960e+09,3.779914199916533102e-01,2.868645966390028224e-01
9.800000000000000711e+00,5.043431690913229370e+10,1.756067532179291010e+09,3.797432676663774487e-01,2.856418849378583591e-01
